title,listing_id,bedrooms,bathrooms,floor_area,land_area,longitude,latitude,url,price,subdivision,description,features,has_cctv,has_alarm_system,has_parks,has_courtyard,has_multi-purpose_lawn,has_secure_parking,has_fully_fenced,has_fire_alarm,has_tennis_court,has_remote_garage,has_function_area,has_wi-fi,has_attic,has_lanai,has_ensuite,has_volleyball_court,has_terrace,has_storage_room,has_sports_facilities,has_air_conditioning,has_basketball_court,has_study_room,has_driver's_room,has_garden,has_playground,has_maid's_room,has_helipad,has_jogging_path,has_smoke_detector,has_carport,has_open_space,has_badminton_court,has_built-in_wardrobes,has_bar,has_open_car_spaces,has_landscaped_garden,has_entertainment_room,has_parking_lot,has_powder_room,has_24-hour_security,has_clubhouse,has_maids_room,has_garage,has_shower_rooms,has_swimming_pool,has_balcony
"3 BEDROOM Brand NEW TOWNHOUSE FOR SALE IDEAL SUBDIVISION, QC near MRT 7",HO5F1D1C1F90E18PH,3,3,120,106,121.082236,14.696697,https://www.lamudi.com.ph/projects/don-jose-heights/3-bedroom-brand-new-townhouse-for-sale-ideal-subdi-172361846537/,"₱8,500,000",IDEAL SUBDIVISION,"Project- Ideal Subd Townhouse Location- Ideal Subd.,Don Jose Heights.,Commonwealth.,Q.C.  Lot Area - 106 sqm Floor Area: 120 sqm   Selling Price- 8,500,000   HOUSE FEATURES: 2 Storey townhouse * 3 bedrooms * 3 toilet & bath * 2 car garage * Dining area * Kitchen area * Service area * Garden",['Garage'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3 bedrooms House and Lot for sale in Woodland Grove, Quezon City",HO67626090D0CD9PH,3,2,77,100,121.076504,14.640624,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/3-bedrooms-house-and-lot-for-sale-in-woodland-grov-173450049622/,"₱17,000,000",Woodland Grove,"Everything is within your Reach! House and Lot for sale in Woodland Grove  Location: Balara, Katipunan, Quezon City Nearby Landmarks: - UP Town Center - Maynilad  - Costume Museum - Balara Filters Park - UP Diliman - Miriam College - Ateneo de Manila University -------- 2 Storey 3 Bedroom 2 Toilet & Bath Living area Dining area Kitchen area 2 car garage  Lot area: 100sqm Floor area: 77.25sqm  Price: 17M --------- For more inquiries feel free to contact us; Alan and Gina Baldovino Licensed Real Estate Broker, Appraiser, and Consultant  For clients outside the Philippines please contact us through     Potters’ Hand We make real estate real simple",['Garage'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Townhouse for sale in Quezon City near Philippine Heart Center,HO676D42AC6D53APH,4,6,320,100,121.057875,14.636902,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/townhouse-for-sale-in-quezon-city-near-philippine-173521374060/,"₱32,000,000",Sikatuna Village,"READY FOR OCCUPANCY TOWNHOUSE IN DILIMAN, QUEZON CITY KINGSTON PLACE MANINGNING ST. SIKATUNA VILLAGE, QUEZON CITY  LOT AREA: 100 SQM. FLOOR AREA: 318- 321 SQM.  LISTED PRICE: Php 32,000,000 SPOT CASH: Php 28,000,000 BANK FINANCING: Php 29,000,000  IN HOUSE/ TRANSPHIL FINANCING ALSO AVAILABLE  Bank Loan Financing (Bank Partners Only) 30% DP payable 15 days after Reservation Php 7,950,000 70% Estimated Bank Loan Php 18,550,000 Est. Mo Amort. 15 years (9% p.a.) Php 188,146 Reservation Deposit Php 500,000 Deductible from DP VAT and other fees not included  PRICE ARE SUBJECT TO CHANGE WITHOUT PRIOR NOTICE  PROPERTY SPECIFICATION  3 Storey’s with Roof Deck 2 Car Garage 4 Bedrooms 6 Toilet and Bath Balcony Dining Area Utility Kitchen Family Den Help’s Room Living Area Kitchen area Lanai   SPECIAL FEATURES  Multi-Point water Heaters Intercom System CCTV Split-Type Inverter Air Conditioners Pin Lights & Lighting Fixtures Overhead Water tank w/ Pressure Pump Premium Laminated Cabinetry Built-In Cooktop, Oven and Rangehood Automatic Gate Electric Fence   For viewing, please direct message","['Maids room', 'Air conditioning', 'Carport']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
House and Lot For Sale in Quezon City,HO6768DB6CC13AFPH,3,1,65,60,121.0521,14.7214,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/house-and-lot-for-sale-in-quezon-city-173492516414/,"₱4,800,000",North Olympus Subdivision,"LOCATION - NORTH OLYMPUS Subdivision,ZABARTE Road, Brgy Kalihayahan Quezon City, Philippines  Near MRT 7 Accessible via Commonwealth Avenue Mindanao Avenue Quirino Highway North Luzon Expressway (NLEX ) Public Transportation is available 24-hours a day  HOUSE FEATURES  2 Storey semi-detached 3 Bedrooms 1 Toilet and Bath Powder room area Living Area Dining Kitchen 1 Car Port  LOT AREA - 60sqm FLOOR AREA -65 sqm SELLING PRICE- 4,800,000 PHP  EASY ACCESS TO EVERYTHING YOU NEED  SUBDIVISION AMENETIES  24/7 Guarded gate Kiddie Pool and Adult Pool Covered Basketball court Loan Tennis Court Volleyball Court Jogging Range Children's playground  HOSPITALS  Bernardino General Hospital 5.6km -8mins Commonwealth Medical Center 3.3 km - 6mins Fairview Polymedic 6.8km - 14 mins FEU Hospital 6.3km 12mins Our Lady of Mercy Hospital 3.1 km 6 mins   SCHOOLS  Fatima University 15km -16 mins FEU - 6.3km - 12 mins La Consolacion Collge - 6.3km - 10 mins New Era University - 14.3 km 18 mins OB Montessori Center - 3.0km 6 mins Sacred Heart Academy - 1.2km 3 mins St. Clair College - 2.1 km 5 mins St Joseph College - 4.0 7 mins St. Luke's SChool - 4.0 km 7 mins University of the Philippines - 14.3 km 21 mins   COMMERCIAL AND BUSINESS CENTER  SM Fairview 2.9km 5 mins Fairview Terraces Ayala Mall 3KM 5mins Robinsons Fairview - 2.9km 5 mins Ever Gotesco - 10.7 km - 18 mins La Mesa Eco Park - 6.9km 14 mins Puregold Zabarte - 2.3km 5 mins Savemore - 2.3km 5 mins SM Novaliches - 4.6 km 8 mins UP Techno Hub - 13.9 km 19 mins Wilcon - 8.4km 15mins Zabarte Town Center -2.3 km 5 mins   GOVERNMENT OFFICES  Batasan - 9.5 km 17 mins COA - 11.2 km 19 mins DAR - 15.6 km 21 mins Sandigan Bayan - 10.4 km 19 mins","['Terrace', 'Air conditioning', 'Powder room', 'Badminton court', 'Carport', 'Fully fenced', 'Jogging path', 'Parks', 'Tennis court', 'Basketball court', 'Clubhouse', 'Garden', 'Playground', 'Volleyball Court']",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Townhouse for Sale in Quezon City near Philippine Heart Center 4BR & 6 T&B,HO676D532D82D6EPH,4,6,318,100,121.057875,14.636902,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/townhouse-for-sale-in-quezon-city-near-philippine-173521796585/,"₱32,000,000",Sikatuna Village,"READY FOR OCCUPANCY TOWNHOUSE IN DILIMAN, QUEZON CITY KINGSTON PLACE MANINGNING ST. SIKATUNA VILLAGE, QUEZON CITY  LOT AREA: 100 SQM. FLOOR AREA: 318- 321 SQM.  LISTED PRICE: Php 32,000,000 SPOT CASH: Php 28,000,000 BANK FINANCING: Php 29,000,000  IN HOUSE/ TRANSPHIL FINANCING ALSO AVAILABLE  Bank Loan Financing (Bank Partners Only) 30% DP payable 15 days after Reservation Php 7,950,000 70% Estimated Bank Loan Php 18,550,000 Est. Mo Amort. 15 years (9% p.a.) Php 188,146 Reservation Deposit Php 500,000 Deductible from DP VAT and other fees not included  PRICE ARE SUBJECT TO CHANGE WITHOUT PRIOR NOTICE  PROPERTY SPECIFICATION  3 Storey’s with Roof Deck 2 Car Garage 4 Bedrooms 6 Toilet and Bath Balcony Dining Area Utility Kitchen Family Den Help’s Room Living Area Kitchen area Lanai   SPECIAL FEATURES  Multi-Point water Heaters Intercom System CCTV Split-Type Inverter Air Conditioners Pin Lights & Lighting Fixtures Overhead Water tank w/ Pressure Pump Premium Laminated Cabinetry Built-In Cooktop, Oven and Rangehood Automatic Gate Electric Fence   For viewing, please direct message","['Balcony', 'Air conditioning', 'Built-in wardrobes', 'Carport']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ready for Occupancy townhouse for sale near in Kalayaan Ave. 4 bedrooms,HO676D29E64AEC2PH,4,6,320,100,121.057875,14.636902,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/ready-for-occupancy-townhouse-for-sale-near-in-kal-173591667456/,"₱28,000,000",Sikatuna Village,"READY FOR OCCUPANCY TOWNHOUSE IN DILIMAN, QUEZON CITY KINGSTON PLACE MANINGNING ST. SIKATUNA VILLAGE, QUEZON CITY  LOT AREA: 100 SQM. FLOOR AREA: 318- 321 SQM.  LISTED PRICE: Php 32,000,000 SPOT CASH: Php 28,000,000 BANK FINANCING: Php 29,000,000  IN HOUSE/ TRANSPHIL FINANCING ALSO AVAILABLE  Bank Loan Financing (Bank Partners Only) 30% DP payable 15 days after Reservation Php 7,950,000 70% Estimated Bank Loan Php 18,550,000 Est. Mo Amort. 15 years (9% p.a.) Php 188,146 Reservation Deposit Php 500,000 Deductible from DP VAT and other fees not included PRICE ARE SUBJECT TO CHANGE WITHOUT PRIOR NOTICE  PROPERTY SPECIFICATION  3 Storey with Roof Deck 2 Car Garage 4 Bedrooms 6 Toilet and Bath Balcony Dining Area Utility Kitchen Family Den Help’s Room Living Area Kitchen area Lanai   SPECIAL FEATURES  Multi-Point water Heaters Intercom System CCTV Split-Type Inverter Air Conditioners Pin Lights & Lighting Fixtures Overhead Water tank w/ Pressure Pump Premium Laminated Cabinetry Built-In Cooktop, Oven and Rangehood Automatic Gate Electric Fence   For viewing, please direct message","['Balcony', 'Maids room', 'Garage']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Brand New House and Lot For Sale near New Manila QC and San Juan Greenhills,HO66EE166652EAAPH,4,4,490,150,121.043543,14.613141,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/brand-new-house-and-lot-for-sale-near-new-manila-q-172687933449/,"₱65,000,000",,"Brand New House and Lot For Sale near New Manila Quezon City and Greenhills San Juan

Property Code: RHL0190

Property Details:
Fully Furnished
Lot Area: 150 sqm
Floor Area: 490 sqm

4 Storey
4 Bedrooms
4.5 T&B
4 Car Garage
Maids Room with T&B
Driver’s Quarter with T&B
Php 67M Furnished
Php 65M Unfurnished

Features:
Automated Swing Gate Remote
Auxiliary Kitchen
Split Type ACs
Window Screens
Intercom System","['Alarm System', 'Balcony', ""Driver's room"", 'Maids room', 'Air conditioning', 'Built-in wardrobes', 'Fire Alarm', ""Maid's room"", 'Smoke detector', 'Storage Room', 'Study room', 'Carport', 'Fully fenced', 'Garage', 'Jogging path', 'Open car spaces', 'Secure parking', '24-hour security', 'Balcony', 'Parking lot', 'Remote garage', 'Open space']",0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
7.4 m Brand New SINGLE House and LOT in NEW HAVEN Subdivision Qc - Jojo Obra,HO677CA06D0F95FPH,3,2,80,100,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/7-4-m-brand-new-single-house-and-lot-in-new-haven-173622078178/,"₱7,400,000",NEW HAVEN,"Customized 3 Brand NEW SINGLE House and Lot UNIT  - B
House and Lot, 3 Bedrooms For Sale in NEW HAVEN Subdivision qc, Metro Manila, Jojo F. Obra
Project - Single HOUSE AND LOT
Location - NEW HAVEN Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
House Features
2 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 100 sqm
Floor Area - 80 sqm
Sample Computation
Selling Price - 7,400,000
15 % 1st Down Payment - 1,110,000
Less Reservation FEE 50,000
Net Down Payment - 1,060,000
20 % 2nd Downpayment - 1,480,000
Pay in 18 months - 82,222.2222
65% Bank Balance 4,810,000 Fixed for at 7%
5 years to pay - 95,243.06
10 years to pay - 55,848.63
15 years to pay - 43,233.80
20 years to pay - 37,291.79
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Jogging path', 'Parks', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Function area', '24-hour security', 'Landscaped Garden', 'Multi-purpose lawn', 'Parking lot', 'Playground', 'Volleyball Court']",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
5.1m Brand NEW 3 Bedrooms House and Lot Pre - Selling in North Olmpus Subd -JOJO,HO677CA7CB26D42PH,3,2,65,58,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/5-1m-brand-new-3-bedrooms-house-and-lot-pre-sellin-173622266781/,"₱5,100,000",NORTH OLYMPUS,"Customized 3 Brand NEW SINGLE House and Lot
House and Lot, 3 Bedrooms For Sale in North Olympus Subdivision qc, Metro Manila, Jojo F. Obra
Project - Single HOUSE AND LOT
Location - North Olympus Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
Hospital ; Bernardino Hospital ,Comonwealth Hospital
House Features
2 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 58 sqm
Floor Area - 65 sqm
Sample Computation
Selling Price - 5,100,000
15 % 1st Down Payment - 765,000
Less Reservation FEE 50,000
Net Down Payment - 715,000
20 % 2nd Downpayment - 1,020,000
Pay in 18 months - 56,666.6666
65% Bank Balance 3,315,000 Fixed for at 7%
5 years to pay - 65,243.06
10 years to pay - 38,848.63
15 years to pay - 29,233.80
20 years to pay - 25,291.79
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Courtyard', 'Jogging path', 'Open car spaces', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Tennis court', 'Function area', '24-hour security', 'Basketball court', 'Clubhouse', 'Landscaped Garden', 'Multi-purpose lawn', 'Parking lot', 'Playground', 'Volleyball Court', 'Open space']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
North Olympus Brand NEW House and LOT For Sale Pre - Selling - Jojo Obra,HO677CA41AA5555PH,3,2,65,158,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/north-olympus-brand-new-house-and-lot-for-sale-pre-173622172271/,"₱5,100,000",North Olympus,"Customized 3 Brand NEW SINGLE House and Lot
House and Lot, 3 Bedrooms For Sale in North Olympus Subdivision qc, Metro Manila, Jojo F. Obra
Project - Single HOUSE AND LOT
Location - North Olympus Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
Hospital ; Bernardino Hospital ,Comonwealth Hospital
House Features
2 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 58 sqm
Floor Area - 65 sqm
Sample Computation
Selling Price - 5,100,000
15 % 1st Down Payment - 765,000
Less Reservation FEE 50,000
Net Down Payment - 715,000
20 % 2nd Downpayment - 1,020,000
Pay in 18 months - 56,666.6666
65% Bank Balance 3,315,000 Fixed for at 7%
5 years to pay - 65,243.06
10 years to pay - 38,848.63
15 years to pay - 29,233.80
20 years to pay - 25,291.79
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Courtyard', 'Garage', 'Jogging path', 'Lanai', 'Open car spaces', 'Parks', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Tennis court', 'Function area', '24-hour security', 'Basketball court', 'Clubhouse', 'Garden', 'Landscaped Garden', 'Multi-purpose lawn', 'Parking lot', 'Playground', 'Volleyball Court', 'Open space']",0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0
CORNER LOT 3 Bedrooms Brand NEW House and LOT For Sale in North Olympus Subd Qc,HO677CA6A7554E4PH,3,2,70,64,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/corner-lot-3-bedrooms-brand-new-house-and-lot-for-173622237578/,"₱5,500,000",NORTH OLYMPUS,"Customized 3 Brand NEW SINGLE House and Lot
House and Lot, 3 Bedrooms For Sale in North Olympus Subdivision qc, Metro Manila, Jojo F. Obra
Project - Single HOUSE AND LOT
Location - North Olympus Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
Hospital ; Bernardino Hospital ,Comonwealth Hospital
House Features
2 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 64 sqm
Floor Area - 70 sqm
Sample Computation
Selling Price - 5,500,000
15 % 1st Down Payment - 825,000
Less Reservation FEE 50,000
Net Down Payment - 775,000
20 % 2nd Downpayment - 1,100,000
Pay in 18 months - 61,111,1111
65% Bank Balance 3,575,000 Fixed for at 7%
5 years to pay - 70,243.06
10 years to pay - 41,848.63
15 years to pay - 32,233.80
20 years to pay - 27,291.79
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Carport', 'Garage', 'Jogging path', 'Open car spaces', 'Parks', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Tennis court', 'Function area', '24-hour security', 'Basketball court', 'Clubhouse', 'Multi-purpose lawn', 'Playground', 'Remote garage', 'Volleyball Court', 'Open space']",0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
100 Sqm Single  House and Lot For Sale in New Haven Subdivision QC - Jojo Obra,HO677C9EE2DCA13PH,3,2,80,100,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/100-sqm-single-house-and-lot-for-sale-in-new-haven-173622038698/,"₱7,400,000",NEW HAVEN,"Customized 3 Brand NEW SINGLE House and Lot
House and Lot, 3 Bedrooms For Sale in NEW HAVEN Subdivision qc, Metro Manila, Jojo F. Obra
Project - Single HOUSE AND LOT
Location - NEW HAVEN Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
House Features
2 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 100 sqm
Floor Area - 80 sqm
Sample Computation
Selling Price - 7,400,000
15 % 1st Down Payment - 1,110,000
Less Reservation FEE 50,000
Net Down Payment - 1,060,000
20 % 2nd Downpayment - 1,480,000
Pay in 18 months - 82,222.2222
65% Bank Balance 4,810,000 Fixed for at 7%
5 years to pay - 95,243.06
10 years to pay - 55,848.63
15 years to pay - 43,233.80
20 years to pay - 37,291.79
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Jogging path', 'Open car spaces', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Tennis court', 'Function area', '24-hour security', 'Clubhouse', 'Multi-purpose lawn', 'Parking lot', 'Playground', 'Volleyball Court', 'Open space']",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
Pre Selling Brand New House and Lot Fot Sale in NEW HEAVEN Subdivision Qc - Jojo,HO677C9FB3F2795PH,3,2,80,100,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/pre-selling-brand-new-house-and-lot-fot-sale-in-ne-173622059587/,"₱7,400,000",NEW HAVEN,"Customized 3 Brand NEW SINGLE House and Lot Unit - A
House and Lot, 3 Bedrooms For Sale in NEW HAVEN Subdivision qc, Metro Manila, Jojo F. Obra
Project - Single HOUSE AND LOT
Location - NEW HAVEN Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
House Features
2 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 100 sqm
Floor Area - 80 sqm
Sample Computation
Selling Price - 7,400,000
15 % 1st Down Payment - 1,110,000
Less Reservation FEE 50,000
Net Down Payment - 1,060,000
20 % 2nd Downpayment - 1,480,000
Pay in 18 months - 82,222.2222
65% Bank Balance 4,810,000 Fixed for at 7%
5 years to pay - 95,243.06
10 years to pay - 55,848.63
15 years to pay - 43,233.80
20 years to pay - 37,291.79
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Open car spaces', 'Parks', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Tennis court', '24-hour security', 'Basketball court', 'Clubhouse', 'Landscaped Garden', 'Parking lot', 'Playground', 'Volleyball Court', 'Open space']",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
New Haven Brand NEW Townhouse For Sale Near Sm Fairview - Jojo Obra,HO677C9B3A68430PH,3,2,65,70,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/new-haven-brand-new-townhouse-for-sale-near-sm-fai-173621945036/,"₱5,200,000",NEW HAVEN,"Customized 3 Storey House and Lot
House and Lot, 3 Bedrooms For Sale in NEW HAVEN Subdivision qc, Metro Manila, Jojo F. Obra
Project - Three Storey DUPLEX
Location - NEW HAVEN Subdivision
Near SM Fairview,Robinson Mall,Fairview Tereses,LANDERS
School ; OB Montesori , Sacred Heart ,Teresa School
Church ; Mary The Queen Parish ,Iglesia ni Cristo , Christian Church
House Features
3 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 75 sqm
Floor Area - 65 sqm
Sample Computation
Selling Price - 5,200,000
15 % 1st Down Payment - 765,000
Less Reservation FEE 50,000
Net Down Payment - 715,000
20 % 2nd Downpayment - 1,020,000
Pay in 18 months - 56,666.666
65% Bank Balance 3,380,000 Fixed for at 7%
5 years to pay - 66,928.06
10 years to pay - 39,244.63
15 years to pay - 30,380.54
20 years to pay - 26,204.95
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Jogging path', 'Parks', 'Secure parking', 'Shower Rooms', 'Sports facilities', 'Swimming pool', 'Tennis court', 'Function area', '24-hour security', 'Basketball court', 'Clubhouse', 'Parking lot', 'Playground', 'Volleyball Court', 'Open space']",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
"3 Bedroom Brandnew House and Lot For Sale in NEW HAVEN Subd., Quezon City - Jojo",HO677C98928A9CAPH,3,2,65,70,121.04835,14.733322,https://www.lamudi.com.ph/buy/metro-manila/quezon-city/3-bedroom-brandnew-house-and-lot-for-sale-in-new-h-17362187704/,"₱5,200,000",NEW HAVEN,"Customized 3 Storey House and Lot
House and Lot, 3 Bedrooms For Sale in NEW HAVEN Subdivision qc, Metro Manila, Jojo F. Obra
Project - Three Storey DUPLEX
Location - NEW HAVEN Subdivision
House Features
3 Storey Townhouse
3 Bedrooms
2 Toilet and Bath
1 Car Garage
Lot Area - 75 sqm
Floor Area - 65 sqm
Sample Computation
Selling Price - 5,200,000
15 % 1st Down Payment - 765,000
Less Reservation FEE 50,000
Net Down Payment - 715,000
20 % 2nd Downpayment - 1,020,000
Pay in 18 months - 56,666.666
65% Bank Balance 3,380,000 Fixed for at 7%
5 years to pay - 66,928.06
10 years to pay - 39,244.63
15 years to pay - 30,380.54
20 years to pay - 26,204.95
Other Expenses ;
Tranfer Of Title,Tax Decs of Land and Bldg -140,000
Meralco - 20,000
Maynilad - 18,000
Bank Charges 1,5% of Loan
For more information pls call/ text
Jojo F. Obra
License PRC No. 0000408","['Badminton court', 'Garage', 'Jogging path', 'Open car spaces', 'Parks', 'Secure parking', 'Sports facilities', 'Swimming pool', 'Tennis court', 'Function area', '24-hour security', 'Basketball court', 'Clubhouse', 'Multi-purpose lawn', 'Parking lot', 'Volleyball Court', 'Open space']",0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0
